n_fft,hop_length,n_mels,fmin,fmax,ARI,NMI
512,256,64,1,6000,0.30235266123602045,0.5580713417270099
512,256,64,1,8000,0.1787877626946931,0.4877853555468266
512,256,64,1,12000,0.35781194173601005,0.6233240046925719
512,256,64,5,2000,0.3452440917895218,0.5862234514366035
512,256,64,5,4000,0.23271650502835248,0.5247481126372302
512,256,64,5,6000,0.28540285266915383,0.5387523353326936
512,256,64,5,8000,0.1787877626946931,0.4877853555468266
512,256,64,5,12000,0.35781194173601005,0.6233240046925719
512,256,64,10,2000,0.31851022488213643,0.5809412839891025
512,256,64,10,4000,0.2645893435235952,0.5463177906316887
512,256,64,10,6000,0.30235266123602045,0.5580713417270099
512,256,64,10,8000,0.1787877626946931,0.4877853555468266
512,256,64,10,12000,0.35781194173601005,0.6233240046925719
512,256,64,20,2000,0.1968037473307157,0.5233018438264052
512,256,64,20,4000,0.250479328803695,0.52602628707958
512,256,64,20,6000,0.3355968314392314,0.5941187419735453
512,256,64,20,8000,0.36342523640512747,0.6145356250599056
512,256,64,20,12000,0.3364056731272104,0.603068909768441
512,256,64,50,2000,0.25071367075988943,0.5172067045764684
512,256,64,50,4000,0.2547525324614389,0.5225067263658028
512,256,64,50,6000,0.30235266123602045,0.5580713417270099
512,256,64,50,8000,0.33025855478657967,0.5926030154157471
512,256,64,50,12000,0.29035610590433936,0.5747617256259662
512,256,128,1,2000,0.1355081555834379,0.48851568823281777
512,256,128,1,4000,0.20919823698324452,0.5423446890025403
512,256,128,1,6000,0.27751187252704235,0.5557424064719938
512,256,128,1,8000,0.21028479050213625,0.5210675768764896
512,256,128,1,12000,0.294955194643823,0.5652517701578241
512,256,128,5,2000,0.13277567999277534,0.47466892480438894
512,256,128,5,4000,0.20278081775712198,0.49392722538414263
512,256,128,5,6000,0.21404736097240037,0.5393699760813155
512,256,128,5,8000,0.2946718417263824,0.5987020509742224
512,256,128,5,12000,0.13084898110511775,0.465654434964453
512,256,128,10,2000,0.1422012994592071,0.47268230331192507
512,256,128,10,4000,0.09047832490235,0.4102255230842177
512,256,128,10,6000,0.19896329916586705,0.4981506871798368
512,256,128,10,8000,0.24377583437803657,0.5265749035567163
512,256,128,10,12000,0.3276174543426739,0.5970070340589985
512,256,128,20,2000,0.16645946111690296,0.4912625829763317
512,256,128,20,4000,0.18681339432822996,0.4786964082463155
512,256,128,20,6000,0.2266438747612256,0.49784894212521336
512,256,128,20,8000,0.20044647226326018,0.4950574513122136
512,256,128,20,12000,0.2568308769868408,0.5417833204776128
512,256,128,50,2000,0.23579378545033247,0.49990807315506247
512,256,128,50,4000,0.14906953875407208,0.4797554699642341
512,256,128,50,6000,0.17059442073359313,0.48828785748005527
512,256,128,50,8000,0.20889210049164122,0.5351648114378293
512,256,128,50,12000,0.28142324107310107,0.5455366470574019
512,256,256,1,2000,0.07032992483171467,0.4026423478355777
512,256,256,1,4000,0.06568936722954166,0.39194825071158584
512,256,256,1,6000,0.08185675068629898,0.4162033856720372
512,256,256,1,8000,0.13277380222546536,0.4539189032852081
512,256,256,1,12000,0.11696433010534689,0.4509057927506383
512,256,256,5,2000,0.0979524994263759,0.44202451812784216
512,256,256,5,4000,0.13102312593971505,0.47551955251655426
512,256,256,5,6000,0.08420559759542043,0.4200028651505192
512,256,256,5,8000,0.15751913339743553,0.48159659908417923
512,256,256,5,12000,0.16632375389925003,0.5127802658466102
512,256,256,10,2000,0.08054679989094614,0.4223949750978946
512,256,256,10,4000,0.04731495912952983,0.3847876071242331
512,256,256,10,6000,0.13491729993266538,0.46138855965373227
512,256,256,10,8000,0.07900840593646148,0.3998199425731525
512,256,256,10,12000,0.1640115733576983,0.48868769985496036
512,256,256,20,2000,0.1290037619751131,0.4710119905014015
512,256,256,20,4000,0.11582355654401724,0.46171445608688483
512,256,256,20,6000,0.09380129556081421,0.42281973062278394
512,256,256,20,8000,0.13818278356673525,0.4675892235483739
512,256,256,20,12000,0.1295943995885575,0.47145255231223054
512,256,256,50,2000,0.05390695607451903,0.39156497990714967
512,256,256,50,4000,0.09614912803360688,0.43148944098901404
512,256,256,50,6000,0.05692357602179352,0.3467177129596147
512,256,256,50,8000,0.11684800296413497,0.459019342302009
512,256,256,50,12000,0.13177433937162425,0.44520335213393664
1024,128,64,1,2000,0.2947306399828233,0.6003876881460841
1024,128,64,1,4000,0.2991568174894538,0.5758954469925454
1024,128,64,1,6000,0.22933777134326475,0.5271210825030038
1024,128,64,1,8000,0.20474118796057889,0.5188866821332179
1024,128,64,1,12000,0.2547525324614389,0.5466902535466354
1024,128,64,5,2000,0.3178945123901488,0.611110716939074
1024,128,64,5,4000,0.310417758390339,0.5921156373916516
1024,128,64,5,6000,0.28050736004124593,0.5715251817866945
1024,128,64,5,8000,0.2263319249390247,0.5390980836329057
1024,128,64,5,12000,0.2547525324614389,0.5466902535466354
1024,128,64,10,2000,0.27639834359066445,0.5743037317506273
1024,128,64,10,4000,0.2102979461961238,0.5030224365297551
1024,128,64,10,6000,0.2909596339838999,0.5678119131627085
1024,128,64,10,8000,0.24668140042332296,0.561053139566258
1024,128,64,10,12000,0.2547525324614389,0.5466902535466355
1024,128,64,20,2000,0.30467286904217983,0.591875408152344
1024,128,64,20,4000,0.3572519984344926,0.5934798912456875
1024,128,64,20,6000,0.23295209273370868,0.5467081651278345
1024,128,64,20,8000,0.2598539235856341,0.5548328280789991
1024,128,64,20,12000,0.23301530383556382,0.5254110338820867
1024,128,64,50,2000,0.26670424889804684,0.5426312311596392
1024,128,64,50,4000,0.2518683227819716,0.5550886998258882
1024,128,64,50,6000,0.35607809119589406,0.6162749091460751
1024,128,64,50,8000,0.2680963449159686,0.5550671775258551
1024,128,64,50,12000,0.2969419782162071,0.587418300230428
1024,128,128,1,2000,0.22498905641349579,0.5283397966503802
1024,128,128,1,4000,0.15613778102204084,0.47951501075741737
1024,128,128,1,6000,0.22856741192241842,0.5228259555796431
1024,128,128,1,8000,0.2568308769868408,0.5804652890344326
1024,128,128,1,12000,0.2732499959431171,0.5520133349359357
1024,128,128,5,2000,0.24292993805540675,0.5528626912342587
1024,128,128,5,4000,0.3533279369919204,0.5968786865399844
1024,128,128,5,6000,0.3265905634166296,0.5895719831384691
1024,128,128,5,8000,0.18190197947099537,0.5308933154472486
1024,128,128,5,12000,0.35118797494949905,0.5933292624704529
1024,128,128,10,2000,0.30172573761365745,0.6054609992683304
1024,128,128,10,4000,0.22214727058944775,0.5250305612904775
1024,128,128,10,6000,0.2754994742376446,0.5709790257198576
1024,128,128,10,8000,0.18341601435323768,0.4856993960803719
1024,128,128,10,12000,0.46731209720691663,0.6719701511566893
1024,128,128,20,2000,0.1290156681231622,0.4486493458525789
1024,128,128,20,4000,0.29537618784838066,0.5959378925439891
1024,128,128,20,6000,0.23650975295281196,0.5240729006930321
1024,128,128,20,8000,0.1640115733576983,0.47344835674803165
1024,128,128,20,12000,0.2926707905363999,0.5610427008205792
1024,128,128,50,2000,0.18465356438973102,0.5115720398054602
1024,128,128,50,4000,0.18313335270861877,0.49693570736755416
1024,128,128,50,6000,0.2137749069297933,0.5411118068006144
1024,128,128,50,8000,0.2744305637966334,0.5768340724100778
1024,128,128,50,12000,0.2625198043672935,0.5718465973772335
1024,128,256,1,2000,0.17786334182221952,0.5158029769865866
1024,128,256,1,4000,0.13862459896270038,0.4750353056230192
1024,128,256,1,6000,0.2642601705813124,0.5462065513310382
1024,128,256,1,8000,0.22820210423086515,0.527494427797662
1024,128,256,1,12000,0.28394167480238086,0.5509376727730736
1024,128,256,5,2000,0.1806606394524617,0.5210521350546278
1024,128,256,5,4000,0.18837111921995572,0.48450220222304896
1024,128,256,5,6000,0.15281427472848325,0.4678860425102678
1024,128,256,5,8000,0.2027816424713427,0.51910486225553
1024,128,256,5,12000,0.24278957923361247,0.5331296342417022
1024,128,256,10,2000,0.1579013913107612,0.5109960760913655
1024,128,256,10,4000,0.1999072845858329,0.4971433398997534
1024,128,256,10,6000,0.18263488705960887,0.5061317586178978
1024,128,256,10,8000,0.16320710976895714,0.4822293816772997
1024,128,256,10,12000,0.1107685157135091,0.4205934467099149
1024,128,256,20,2000,0.18250899304825235,0.5003129744511514
1024,128,256,20,4000,0.17536988491476904,0.49945571611725004
1024,128,256,20,6000,0.2125569717860569,0.5043495825359121
1024,128,256,20,8000,0.16783127583499088,0.48260569453855645
1024,128,256,20,12000,0.22736553889571584,0.5164408943491158
1024,128,256,50,2000,0.05344494870931358,0.3900617166938745
1024,128,256,50,4000,0.15938063272263533,0.4781392964751169
1024,128,256,50,6000,0.18363195467807075,0.46526189960645664
1024,128,256,50,8000,0.18742787577513728,0.5052746033601386
1024,128,256,50,12000,0.18007075087973745,0.4935344206421565
1024,256,64,1,2000,0.2580540103272032,0.5526320655560092
1024,256,64,1,4000,0.2793834406844563,0.5734954188364886
1024,256,64,1,6000,0.3348274316450022,0.6072370088506139
1024,256,64,1,8000,0.19079454326118264,0.5058024284906132
1024,256,64,1,12000,0.33815446919294184,0.6079325616141312
1024,256,64,5,2000,0.2580540103272032,0.5526320655560092
1024,256,64,5,4000,0.2168891209854547,0.5091445988240263
1024,256,64,5,6000,0.3348274316450022,0.6072370088506139
1024,256,64,5,8000,0.2960399648818356,0.5651800801313128
1024,256,64,5,12000,0.33815446919294184,0.6079325616141312
1024,256,64,10,2000,0.24929765330701467,0.5457371138608295
1024,256,64,10,4000,0.20014603064542394,0.5035469142313671
1024,256,64,10,6000,0.33763600222310125,0.5999898881506324
1024,256,64,10,8000,0.30553664198669317,0.5854360878831762
1024,256,64,10,12000,0.3341569615804877,0.5975749616489713
1024,256,64,20,2000,0.3601710276057625,0.6452106981399236
1024,256,64,20,4000,0.20544079587183997,0.5069257525669366
1024,256,64,20,6000,0.23714855404392493,0.5365251787730372
1024,256,64,20,8000,0.2547525324614389,0.5557342974752503
1024,256,64,20,12000,0.32009203457841817,0.6236422543214655
1024,256,64,50,2000,0.24278957923361247,0.5412679343935787
1024,256,64,50,4000,0.30657944395521447,0.5801844889145242
1024,256,64,50,6000,0.33642348780813053,0.6080351595176621
1024,256,64,50,8000,0.24688972493664824,0.5270896905806085
1024,256,64,50,12000,0.25088845735675147,0.5479095380077877
1024,256,128,1,2000,0.2811968229386427,0.575875731777907
1024,256,128,1,4000,0.2492279729259261,0.524099794912325
1024,256,128,1,6000,0.294955194643823,0.5448957838416147
1024,256,128,1,8000,0.3122693933088677,0.5602922298273755
1024,256,128,1,12000,0.3249458614327377,0.5986675298512762
1024,256,128,5,2000,0.30323738923959,0.5803858036756481
1024,256,128,5,4000,0.28291474379477183,0.5279550295041001
1024,256,128,5,6000,0.32813433331120995,0.6014602871858152
1024,256,128,5,8000,0.31662521803284294,0.5615966543152319
1024,256,128,5,12000,0.24364517582241185,0.5742587038787956
